id,email,phone,full_name,role,organization,location,site_id,last_login_at,created_at,updated_at,is_active,gender
550e8400-e29b-41d4-a716-446655440001,rajesh.kumar@cwc.gov.in,+919876543201,Rajesh Kumar,field_personnel,Central Water Commission,Haridwar,CWC-GNG-001,2025-10-14 05:30:00+00,2024-01-10 08:00:00+00,2025-10-14 05:30:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440002,priya.sharma@cwc.gov.in,+919876543202,Priya Sharma,field_personnel,Central Water Commission,Delhi,CWC-YMN-002,2025-10-14 06:15:00+00,2024-01-12 09:30:00+00,2025-10-14 06:15:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440003,amit.das@cwc.gov.in,+919876543203,Amit Das,field_personnel,Central Water Commission,Guwahati,CWC-BRM-003,2025-10-14 04:45:00+00,2024-01-15 07:15:00+00,2025-10-14 04:45:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440004,lakshmi.reddy@cwc.gov.in,+919876543204,Lakshmi Reddy,field_personnel,Central Water Commission,Rajahmundry,CWC-GDV-004,2025-10-14 05:20:00+00,2024-01-18 10:00:00+00,2025-10-14 05:20:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440005,suresh.nair@cwc.gov.in,+919876543205,Suresh Nair,field_personnel,Central Water Commission,Mandya,CWC-KRS-005,2025-10-14 03:50:00+00,2024-01-20 08:45:00+00,2025-10-14 03:50:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440006,deepak.patel@cwc.gov.in,+919876543206,Deepak Patel,field_personnel,Central Water Commission,Kevadia,CWC-NRM-006,2025-10-14 06:30:00+00,2024-01-22 09:20:00+00,2025-10-14 06:30:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440007,anita.mohanty@cwc.gov.in,+919876543207,Anita Mohanty,field_personnel,Central Water Commission,Cuttack,CWC-MHN-007,2025-10-14 05:10:00+00,2024-01-25 07:30:00+00,2025-10-14 05:10:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440008,vijay.desai@cwc.gov.in,+919876543208,Vijay Desai,field_personnel,Central Water Commission,Surat,CWC-TPT-008,2025-10-14 06:45:00+00,2024-01-28 08:15:00+00,2025-10-14 06:45:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440009,meena.pillai@cwc.gov.in,+919876543209,Meena Pillai,field_personnel,Central Water Commission,Salem,CWC-KVR-009,2025-10-14 04:20:00+00,2024-02-01 10:30:00+00,2025-10-14 04:20:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440010,ramesh.meena@cwc.gov.in,+919876543210,Ramesh Meena,field_personnel,Central Water Commission,Kota,CWC-CHM-010,2025-10-14 05:55:00+00,2024-02-03 09:00:00+00,2025-10-14 05:55:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440011,harpreet.kaur@cwc.gov.in,+919876543211,Harpreet Kaur,field_personnel,Central Water Commission,Ludhiana,CWC-STL-011,2025-10-14 06:10:00+00,2024-02-05 08:30:00+00,2025-10-14 06:10:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440012,anil.thakur@cwc.gov.in,+919876543212,Anil Thakur,field_personnel,Central Water Commission,Bilaspur,CWC-BTS-012,2025-10-14 05:00:00+00,2024-02-08 07:45:00+00,2025-10-14 05:00:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440013,kavita.singh@cwc.gov.in,+919876543213,Kavita Singh,field_personnel,Central Water Commission,Jhansi,CWC-BTV-013,2025-10-14 06:25:00+00,2024-02-10 09:15:00+00,2025-10-14 06:25:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440014,ravi.yadav@cwc.gov.in,+919876543214,Ravi Yadav,field_personnel,Central Water Commission,Patna,CWC-SON-014,2025-10-14 04:35:00+00,2024-02-12 08:00:00+00,2025-10-14 04:35:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440015,sunita.verma@cwc.gov.in,+919876543215,Sunita Verma,field_personnel,Central Water Commission,Bahraich,CWC-GHG-015,2025-10-14 05:40:00+00,2024-02-15 10:20:00+00,2025-10-14 05:40:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440016,manoj.singh@cwc.gov.in,+919876543216,Manoj Singh,field_personnel,Central Water Commission,Supaul,CWC-KSH-016,2025-10-14 06:05:00+00,2024-02-18 07:50:00+00,2025-10-14 06:05:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440017,divya.menon@cwc.gov.in,+919876543217,Divya Menon,field_personnel,Central Water Commission,Idukki,CWC-PER-017,2025-10-14 04:15:00+00,2024-02-20 09:40:00+00,2025-10-14 04:15:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440018,ganesh.patil@cwc.gov.in,+919876543218,Ganesh Patil,field_personnel,Central Water Commission,Kolhapur,CWC-PHN-018,2025-10-14 05:50:00+00,2024-02-22 08:25:00+00,2025-10-14 05:50:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440019,neha.jadhav@cwc.gov.in,+919876543219,Neha Jadhav,field_personnel,Central Water Commission,Pandharpur,CWC-BHM-019,2025-10-14 06:20:00+00,2024-02-25 10:10:00+00,2025-10-14 06:20:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440020,krishna.gowda@cwc.gov.in,+919876543220,Krishna Gowda,field_personnel,Central Water Commission,Hospet,CWC-TNG-020,2025-10-14 04:40:00+00,2024-02-28 07:35:00+00,2025-10-14 04:40:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440021,sangeetha.raj@cwc.gov.in,+919876543221,Sangeetha Raj,field_personnel,Central Water Commission,Theni,CWC-VAS-021,2025-10-14 03:55:00+00,2024-03-02 09:20:00+00,2025-10-14 03:55:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440022,sanjay.mishra@cwc.gov.in,+919876543222,Sanjay Mishra,field_personnel,Central Water Commission,Lucknow,CWC-GND-022,2025-10-14 06:35:00+00,2024-03-05 08:05:00+00,2025-10-14 06:35:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440023,pooja.chauhan@cwc.gov.in,+919876543223,Pooja Chauhan,field_personnel,Central Water Commission,Chamba,CWC-RVI-023,2025-10-14 05:15:00+00,2024-03-08 10:45:00+00,2025-10-14 05:15:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440024,rakesh.sharma@cwc.gov.in,+919876543224,Rakesh Sharma,field_personnel,Central Water Commission,Mandi,CWC-BAS-024,2025-10-14 04:50:00+00,2024-03-10 07:15:00+00,2025-10-14 04:50:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440025,archana.rao@cwc.gov.in,+919876543225,Archana Rao,field_personnel,Central Water Commission,Jagdalpur,CWC-IND-025,2025-10-14 06:00:00+00,2024-03-12 09:30:00+00,2025-10-14 06:00:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440026,sunil.naik@cwc.gov.in,+919876543226,Sunil Naik,field_personnel,Central Water Commission,Panaji,CWC-MND-026,2025-10-14 05:25:00+00,2024-03-15 08:50:00+00,2025-10-14 05:25:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440027,rita.fernandes@cwc.gov.in,+919876543227,Rita Fernandes,field_personnel,Central Water Commission,Margao,CWC-ZRV-027,2025-10-14 06:40:00+00,2024-03-18 10:25:00+00,2025-10-14 06:40:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440028,biswajit.ghosh@cwc.gov.in,+919876543228,Biswajit Ghosh,field_personnel,Central Water Commission,Durgapur,CWC-DAM-028,2025-10-14 04:30:00+00,2024-03-20 07:40:00+00,2025-10-14 04:30:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440029,ankita.sen@cwc.gov.in,+919876543229,Ankita Sen,field_personnel,Central Water Commission,Kolkata,CWC-HGL-029,2025-10-14 05:45:00+00,2024-03-22 09:05:00+00,2025-10-14 05:45:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440030,vikram.rathore@cwc.gov.in,+919876543230,Vikram Rathore,field_personnel,Central Water Commission,Jhalawar,CWC-BJR-030,2025-10-14 06:15:00+00,2024-03-25 08:20:00+00,2025-10-14 06:15:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440031,shreya.shah@cwc.gov.in,+919876543231,Shreya Shah,field_personnel,Central Water Commission,Ahmedabad,CWC-SBR-031,2025-10-14 04:25:00+00,2024-03-28 10:00:00+00,2025-10-14 04:25:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440032,manish.chouhan@cwc.gov.in,+919876543232,Manish Chouhan,field_personnel,Central Water Commission,Jodhpur,CWC-LUN-032,2025-10-14 05:30:00+00,2024-04-01 07:30:00+00,2025-10-14 05:30:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440033,jyoti.parmar@cwc.gov.in,+919876543233,Jyoti Parmar,field_personnel,Central Water Commission,Surat,CWC-TMP-033,2025-10-14 06:50:00+00,2024-04-03 09:15:00+00,2025-10-14 06:50:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440034,karthik.naidu@cwc.gov.in,+919876543234,Karthik Naidu,field_personnel,Central Water Commission,Nellore,CWC-PNR-034,2025-10-14 04:10:00+00,2024-04-05 08:40:00+00,2025-10-14 04:10:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440035,tanvi.kulkarni@cwc.gov.in,+919876543235,Tanvi Kulkarni,field_personnel,Central Water Commission,Belgaum,CWC-MSK-035,2025-10-14 05:35:00+00,2024-04-08 10:15:00+00,2025-10-14 05:35:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440036,prasad.hegde@cwc.gov.in,+919876543236,Prasad Hegde,field_personnel,Central Water Commission,Belgaum,CWC-GHP-036,2025-10-14 06:05:00+00,2024-04-10 07:50:00+00,2025-10-14 06:05:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440037,priyanka.bhat@cwc.gov.in,+919876543237,Priyanka Bhat,field_personnel,Central Water Commission,Hassan,CWC-HMP-037,2025-10-14 04:45:00+00,2024-04-12 09:25:00+00,2025-10-14 04:45:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440038,mahesh.gowda@cwc.gov.in,+919876543238,Mahesh Gowda,field_personnel,Central Water Commission,Mysuru,CWC-KBN-038,2025-10-14 05:20:00+00,2024-04-15 08:10:00+00,2025-10-14 05:20:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440039,vasantha.kumar@cwc.gov.in,+919876543239,Vasantha Kumar,field_personnel,Central Water Commission,Coimbatore,CWC-ALY-039,2025-10-14 03:50:00+00,2024-04-18 10:35:00+00,2025-10-14 03:50:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440040,selvaraj.m@cwc.gov.in,+919876543240,Selvaraj Murugan,field_personnel,Central Water Commission,Erode,CWC-BHV-040,2025-10-14 06:30:00+00,2024-04-20 07:20:00+00,2025-10-14 06:30:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440041,indira.devi@cwc.gov.in,+919876543241,Indira Devi,field_personnel,Central Water Commission,Kurnool,CWC-SRV-041,2025-10-14 05:10:00+00,2024-04-22 09:45:00+00,2025-10-14 05:10:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440042,venkat.rao@cwc.gov.in,+919876543242,Venkatesh Rao,field_personnel,Central Water Commission,Nalgonda,CWC-NRJ-042,2025-10-14 06:45:00+00,2024-04-25 08:30:00+00,2025-10-14 06:45:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440043,swathi.reddy@cwc.gov.in,+919876543243,Swathi Reddy,field_personnel,Central Water Commission,Nizamabad,CWC-NIZ-043,2025-10-14 04:20:00+00,2024-04-28 10:05:00+00,2025-10-14 04:20:00+00,TRUE,female
550e8400-e29b-41d4-a716-446655440044,rajendra.prasad@cwc.gov.in,+919876543244,Rajendra Prasad,field_personnel,Central Water Commission,Karimnagar,CWC-PCD-044,2025-10-14 05:55:00+00,2024-05-01 07:45:00+00,2025-10-14 05:55:00+00,TRUE,male
550e8400-e29b-41d4-a716-446655440045,shweta.mahato@cwc.gov.in,+919876543245,Shweta Mahato,field_personnel,Central Water Commission,Deoghar,CWC-MDR-045,2025-10-14 06:10:00+00,2024-05-03 09:20:00+00,2025-10-14 06:10:00+00,TRUE,female
